Title	URL	Milestone	Deliverable / Sprint	User Story	Story Type	Priority	Estimate (Story Points)	Status
As a new software developer, I would like to interact with and post questions on a board private to my company, so that I may address common job specific issues.	https://github.com/COS420-F25/TeamC/issues/71			Yes	Requirements	High	2	Product Backlog
As a junior developer, I would like to be able to respond to feedback I receive so that I may acknowledge if it has solved the problem.	https://github.com/COS420-F25/TeamC/issues/58			Yes	Requirements	High	1	Product Backlog
As a new developer, I would like to ask questions anonymously to senior developer coworkers, so that I may spend less time waiting for an answer	https://github.com/COS420-F25/TeamC/issues/56			Yes	Requirements	High	2	Product Backlog
As a new developer, I would like to interact on a public forum with people at the same company, so that I may build confidence for my own personal workspace.	https://github.com/COS420-F25/TeamC/issues/72			Yes	Requirements	Medium	1	Product Backlog
As a junior developer, I would like to chat personally with those that I may need to speak to, so that i may get more in detail about a publicly addressed problem or to chat with others at my same company.	https://github.com/COS420-F25/TeamC/issues/73			Yes	Requirements	Medium	1	Product Backlog
As a new developer, I would like to view past discussions to see if my questions have been answered in the past, so that I don’t have to wait on current responses.	https://github.com/COS420-F25/TeamC/issues/67			Yes	Requirements	Medium	3	Product Backlog
As a senior developer, I would like to be able to answer other developers' questions so that I can help them learn best practices at our company.	https://github.com/COS420-F25/TeamC/issues/62			Yes	Requirements	Medium	2	Product Backlog
As a new hire, I would like to be able to quickly find solutions to known problems, so that I can solve problems faster that may have been encountered before.	https://github.com/COS420-F25/TeamC/issues/60			Yes	Requirements	Medium	1	Product Backlog
As a new developer, I would like to have easy access to answers to questions that are common among my team, so that we can quickly handle them.	https://github.com/COS420-F25/TeamC/issues/57			Yes	Requirements	Medium	1	Product Backlog
As a senior developer. I would like to get notifications for new questions in my workspace that may appear so that I can swiftly answer them.	https://github.com/COS420-F25/TeamC/issues/75			Yes	Requirements	Medium		Product Backlog
As a developer, I would like to be able to ask for feedback from other developers about my work, so that I know what tips people could give me to improve.	https://github.com/COS420-F25/TeamC/issues/59			Yes	Requirements	Low	1	Product Backlog
As a new developer, I would like to discuss my work with others and improve it, so that I can perform better in the future.	https://github.com/COS420-F25/TeamC/issues/63			Yes	Requirements	Low	1	Product Backlog
As a developer, I would like to report any questions that are “improper”, so that it can be removed by a project manager.	https://github.com/COS420-F25/TeamC/issues/64			Yes	Requirements	Low	2	Product Backlog
As a project manager, I would like to remove reported questions and then see who posted them, so that I can ensure a comfortable environment for everyone.	https://github.com/COS420-F25/TeamC/issues/65			Yes	Requirements	Low	2	Product Backlog
As a team lead, I would like to be able to have access to a screen where I can organize all questions asked in a given help board, so that I can identify where they need more training.	https://github.com/COS420-F25/TeamC/issues/61			Yes	Requirements	Low	3	Product Backlog
As a developer, I want to be able to be “rewarded” for correctly answering others' questions, so that I have incentive to do so.	https://github.com/COS420-F25/TeamC/issues/66			Yes	Requirements	Low	3	Product Backlog
